Cell_ID,KMeans_Cluster,DBSCAN_Cluster,UMAP1,UMAP2
0,0,-1,9.023099,8.134466
1,0,-1,8.661571,8.894665
2,0,-1,9.671163,7.789535
3,0,-1,10.1036625,8.512948
4,0,-1,8.174852,4.8982778
5,0,-1,8.758764,8.791954
6,0,-1,10.339252,8.048888
7,0,-1,9.145951,9.539128
8,0,-1,7.087656,9.609736
9,0,-1,9.5073185,7.9610357
10,0,-1,8.854106,8.516662
11,0,-1,10.015187,8.690705
12,0,-1,9.679073,7.9322495
13,0,-1,8.676896,9.262089
14,0,-1,9.158935,8.01354
15,0,-1,8.893112,9.313317
16,0,-1,9.000184,9.443658
17,0,-1,8.612825,9.0081625
18,0,-1,8.287313,8.296338
19,0,-1,9.470661,8.048772
20,0,-1,8.953556,9.156377
21,0,-1,9.604083,2.8514442
22,0,-1,8.697816,9.050851
23,0,-1,8.946719,9.341494
24,0,-1,8.807374,9.204052
25,0,-1,8.013308,9.616025
26,0,-1,7.2133865,7.043247
27,0,-1,8.797591,9.0163355
28,0,-1,9.51478,8.742442
29,0,-1,8.613012,8.974387
30,0,-1,9.657017,7.972963
31,0,-1,9.036261,9.43385
32,0,-1,10.041059,9.176359
33,0,-1,9.663184,7.839883
34,0,-1,9.420404,7.859929
35,0,-1,9.98502,8.746761
36,0,-1,9.143746,9.544843
37,0,-1,8.995739,8.193939
38,0,-1,10.116097,8.559362
39,0,-1,9.2432165,9.551772
40,0,-1,7.4157133,10.095341
41,0,-1,8.648824,8.454993
42,0,-1,9.5491295,7.9462404
43,0,-1,9.015616,9.40685
44,0,-1,9.008279,9.018688
45,0,-1,7.6938243,9.72818
46,0,-1,9.328527,7.868886
47,1,-1,9.616662,3.0473623
48,0,-1,6.9119163,7.242729
49,0,-1,9.035068,8.368588
50,0,-1,8.880338,9.245631
51,0,-1,9.034767,8.445352
52,0,-1,6.523171,9.488298
53,0,-1,3.8444927,7.7510414
54,0,-1,8.773296,8.726892
55,0,-1,9.644103,7.798007
56,0,-1,9.176557,7.8488746
57,0,-1,8.840448,7.98195
58,0,-1,10.348098,8.06344
59,0,-1,9.9128685,3.4489443
60,0,-1,8.543002,8.999315
61,0,-1,8.682222,8.587435
62,0,-1,7.862946,4.312477
63,0,-1,9.621287,7.8229184
64,0,-1,8.343589,8.618105
65,0,-1,8.271121,7.1356535
66,4,-1,3.8784003,7.181193
67,1,-1,-0.17756818,7.2984133
68,3,-1,10.84843,-1.5749481
69,0,-1,9.881425,8.401394
70,0,-1,8.737662,9.120402
71,0,-1,8.746761,8.357946
72,0,-1,8.725122,8.372262
73,0,-1,9.381022,9.5196905
74,0,-1,7.073728,7.013536
75,0,-1,9.826365,9.2174015
76,0,-1,8.9582615,9.520904
77,0,-1,8.147265,8.639131
78,0,-1,8.847286,9.191215
79,0,-1,6.0384684,9.711189
80,3,-1,10.910802,-1.599946
81,0,-1,6.094629,9.857623
82,0,-1,9.413337,9.388775
83,0,-1,9.872925,8.189395
84,0,-1,8.518494,8.608412
85,0,-1,9.592492,8.274774
86,0,-1,8.861913,9.124262
87,0,-1,9.842045,8.543782
88,0,-1,9.550026,7.892778
89,0,-1,9.0168,9.161469
90,0,-1,8.892987,8.356296
91,0,-1,7.856422,4.353593
92,0,-1,9.503225,7.984794
93,0,-1,10.066248,9.175578
94,0,-1,9.048975,9.296907
95,2,-1,8.781664,-3.557726
96,3,-1,10.37344,-2.0413918
97,3,-1,10.298712,-2.1711402
98,3,-1,10.509161,-2.0457406
99,1,-1,8.9328,2.707627
100,3,-1,10.398517,-1.2600121
101,1,-1,11.135164,-1.5913038
102,1,-1,8.68081,2.8703146
103,3,-1,10.188444,-0.8916837
104,0,-1,8.947254,9.4627495
105,1,-1,8.772072,2.7571926
106,1,-1,8.965606,2.7013187
107,3,-1,10.982602,-1.6442215
108,3,-1,10.557301,-1.5394218
109,1,-1,8.759308,2.8514109
110,1,-1,8.066085,2.3009613
111,3,-1,10.476316,-2.0885344
112,3,-1,10.997653,-1.6805298
113,3,-1,10.765358,-1.2967603
114,1,-1,9.586414,2.7433128
115,3,-1,10.889985,-1.5812199
116,1,-1,8.825826,2.6842544
117,3,-1,9.953253,-0.31133232
118,3,-1,9.771769,-2.7065015
119,3,-1,10.8487,-1.3919308
120,3,-1,10.188922,-1.9586943
121,3,-1,10.107685,-2.2864144
122,3,-1,9.973677,-2.546335
123,3,-1,11.155838,-1.6029371
124,3,-1,11.024531,-1.6308625
125,3,-1,11.138138,-1.6092561
126,3,-1,10.943634,-1.6611866
127,3,-1,10.765708,-1.605305
128,3,-1,10.831894,-1.7924788
